,maxes,maxtimes,sensornamemax
0,-100.0,2020-02-23 12:00:00-05:00,fake
1,-100.0,2020-02-23 12:00:00-05:00,fake
2,3.920795000000001,2020-02-24 09:32:53.917000-05:00,Kilkenny Creek environmental sensors
3,3.7108110000000005,2020-02-24 21:42:02.004000-05:00,Kilkenny Creek environmental sensors
4,3.592695000000001,2020-02-25 10:20:17.357000-05:00,Kilkenny Creek environmental sensors
5,3.3006860000000007,2020-02-25 22:05:43.731000-05:00,Kilkenny Creek environmental sensors
6,3.3334960000000002,2020-02-26 10:30:51.602000-05:00,Kilkenny Creek environmental sensors
7,3.097264,2020-02-26 22:15:52.774000-05:00,Kilkenny Creek environmental sensors
8,2.4738740000000004,2020-02-27 11:01:26.847000-05:00,Kilkenny Creek environmental sensors
9,1.1745980000000005,2020-02-27 20:35:24.537000-05:00,Kilkenny Creek environmental sensors
10,2.6248000000000005,2020-02-28 11:40:04.385000-05:00,Kilkenny Creek environmental sensors
11,2.4082540000000003,2020-02-28 23:25:59.348000-05:00,Kilkenny Creek environmental sensors
12,1.6503430000000003,2020-02-29 11:27:21.161000-05:00,Kilkenny Creek environmental sensors
13,2.3229480000000002,2020-03-01 00:17:29.358000-05:00,Kilkenny Creek environmental sensors
14,2.0834350000000006,2020-03-01 12:16:45.171000-05:00,Kilkenny Creek environmental sensors
15,2.572304000000001,2020-03-02 01:07:11.780000-05:00,Kilkenny Creek environmental sensors
16,1.7947070000000007,2020-03-02 13:22:26.756000-05:00,Kilkenny Creek environmental sensors
17,2.4180970000000004,2020-03-03 02:07:47.615000-05:00,Kilkenny Creek environmental sensors
18,1.5945660000000004,2020-03-03 14:17:56.728000-05:00,Kilkenny Creek environmental sensors
19,2.5230890000000006,2020-03-04 03:08:20.683000-05:00,Kilkenny Creek environmental sensors
20,2.365601,2020-03-04 15:18:28.989000-05:00,Kilkenny Creek environmental sensors
21,3.323653,2020-03-05 04:23:59.957000-05:00,Kilkenny Creek environmental sensors
22,3.769869000000001,2020-03-05 18:34:59.001000-05:00,Kilkenny Creek environmental sensors
23,3.8059600000000007,2020-03-06 05:29:34.241000-05:00,Kilkenny Creek environmental sensors
24,1.975162000000001,2020-03-06 17:29:42.720000-05:00,Kilkenny Creek environmental sensors
25,3.5730090000000008,2020-03-07 06:20:02.553000-05:00,Kilkenny Creek environmental sensors
26,3.1891320000000007,2020-03-07 19:00:31.703000-05:00,Kilkenny Creek environmental sensors
27,4.367011000000001,2020-03-08 08:30:49.285000-04:00,Kilkenny Creek environmental sensors
28,3.8978280000000005,2020-03-08 21:21:16.151000-04:00,Kilkenny Creek environmental sensors
29,4.668863000000001,2020-03-09 09:26:23.928000-04:00,Kilkenny Creek environmental sensors
