,mins,mintimes,sensornamemin
0,100.0,2020-02-23 12:00:00-05:00,fake
1,100.0,2020-02-23 12:00:00-05:00,fake
2,-4.094688,2020-02-24 03:04:58.840000-05:00,Kilkenny Creek environmental sensors
3,-4.150464999999999,2020-02-24 15:54:38.988000-05:00,Kilkenny Creek environmental sensors
4,-3.8748609999999992,2020-02-25 03:37:19.477000-05:00,Kilkenny Creek environmental sensors
5,-4.416226,2020-02-25 16:27:53.871000-05:00,Kilkenny Creek environmental sensors
6,-4.1767129999999995,2020-02-26 04:08:08.749000-05:00,Kilkenny Creek environmental sensors
7,-4.52778,2020-02-26 16:33:24.164000-05:00,Kilkenny Creek environmental sensors
8,-5.157732000000001,2020-02-27 04:13:32.133000-05:00,Kilkenny Creek environmental sensors
9,-4.403101999999999,2020-02-27 16:33:46.525000-05:00,Kilkenny Creek environmental sensors
10,-3.966728999999999,2020-02-28 05:02:21.754000-05:00,Kilkenny Creek environmental sensors
11,-4.153746,2020-02-28 17:22:50.968000-05:00,Kilkenny Creek environmental sensors
12,-4.4785650000000015,2020-02-29 05:34:15.548000-05:00,Kilkenny Creek environmental sensors
13,-4.334201,2020-02-29 17:34:57.836000-05:00,Kilkenny Creek environmental sensors
14,-3.490983999999999,2020-03-01 06:20:24.733000-05:00,Kilkenny Creek environmental sensors
15,-3.7764310000000005,2020-03-01 18:14:18.130000-05:00,Kilkenny Creek environmental sensors
16,-2.8380650000000003,2020-03-02 06:44:35.125000-05:00,Kilkenny Creek environmental sensors
17,-3.349901000000001,2020-03-02 19:14:54.100000-05:00,Kilkenny Creek environmental sensors
18,-3.153041,2020-03-03 08:05:17.422000-05:00,Kilkenny Creek environmental sensors
19,-3.6058190000000003,2020-03-03 20:15:26.842000-05:00,Kilkenny Creek environmental sensors
20,-3.4122400000000006,2020-03-04 09:46:08.771000-05:00,Kilkenny Creek environmental sensors
21,-2.759321,2020-03-04 21:41:10.933000-05:00,Kilkenny Creek environmental sensors
22,-2.5952710000000003,2020-03-05 10:41:38.782000-05:00,Kilkenny Creek environmental sensors
23,-3.067734999999999,2020-03-05 22:56:49.363000-05:00,Kilkenny Creek environmental sensors
24,-4.281704999999999,2020-03-06 11:47:16.019000-05:00,Kilkenny Creek environmental sensors
25,-5.7778410000000004,2020-03-06 23:57:22.752000-05:00,Kilkenny Creek environmental sensors
26,-4.324357999999998,2020-03-07 12:32:43.296000-05:00,Kilkenny Creek environmental sensors
27,-5.640038999999998,2020-03-08 01:08:06.976000-05:00,Kilkenny Creek environmental sensors
28,-4.842756,2020-03-08 14:48:30.327000-04:00,Kilkenny Creek environmental sensors
29,-5.603948000000001,2020-03-09 03:18:45.990000-04:00,Kilkenny Creek environmental sensors
